ILMN_Gene	Gene_ID
ILMN_1796063	TRIM44
ILMN_1679194	UGT2B7
ILMN_1755897	UGT2B7
ILMN_2313434	TCP1
ILMN_1727459	ORC1L
ILMN_2162234	NEK1
ILMN_1692352	IRAK4
ILMN_1725427	B2M
ILMN_2148459	B2M
ILMN_1811258	RELB
ILMN_2262957	WIPF1
ILMN_2351298	WIPF1
ILMN_1718833	UGT2B7
ILMN_1695025	CD2
ILMN_2353732	CD8A
ILMN_1768482	CD8A
ILMN_1760374	CD8A
ILMN_1654289	ELK1
ILMN_1774733	SOCS1
ILMN_2129545	GNB4
ILMN_1706677	MAPK1
ILMN_1733249	GNB4
ILMN_1739794	CD3E
ILMN_1767320	MAPK1
ILMN_2235283	MAPK1
ILMN_1660661	TCP1
ILMN_1776347	TCP1
